172.20.4.192,EC-CD-6D-18-33-23,n/a
172.20.4.194,EC-CD-6D-0E-AD-A4,n/a
172.20.4.195,00-15-77-DB-88-A4,n/a
172.20.4.196,EC-CD-6D-18-31-DE,n/a
172.20.4.198,00-15-77-E6-9E-3F,n/a
172.20.4.200,00-00-CD-28-C0-1F,n/a
172.20.4.201,EC-CD-6D-0C-96-AE,n/a
172.20.4.203,EC-CD-6D-0C-9E-E2,n/a
172.20.4.205,00-15-77-E6-7E-9B,n/a
172.20.4.206,EC-CD-6D-04-0B-5B,n/a
172.20.4.208,EC-CD-6D-0C-B4-90,n/a
172.20.4.210,00-15-77-57-0A-42,n/a
172.20.4.211,00-15-77-E6-A2-8B,n/a
172.20.4.213,EC-CD-6D-1C-D8-96,n/a
172.20.4.215,EC-CD-6D-04-04-21,n/a
172.20.4.218,EC-CD-6D-0E-A5-BB,n/a
172.20.4.220,EC-CD-6D-0E-BB-69,n/a
172.20.4.222,EC-CD-6D-0E-8F-DB,n/a
172.20.4.224,EC-CD-6D-0E-8C-3E,n/a
172.20.4.225,EC-CD-6D-1C-DD-C1,n/a
172.20.4.227,EC-CD-6D-1C-F3-93,n/a
172.20.4.229,00-15-77-DB-88-98,n/a
172.20.4.230,00-00-CD-29-9D-7F,n/a
172.20.4.231,00-15-77-57-04-04,n/a
172.20.4.232,00-15-77-E6-9B-51,n/a
172.20.4.235,00-15-77-E6-8D-8C,n/a
172.20.4.238,EC-CD-6D-0C-9F-14,n/a
172.20.4.240,EC-CD-6D-03-F4-1D,n/a
172.20.4.242,EC-CD-6D-0E-C3-CF,n/a
172.20.4.244,EC-CD-6D-1C-DB-A6,n/a
172.20.4.246,00-15-77-AB-1A-D5,n/a
172.20.4.247,00-15-77-E6-9C-64,n/a
172.20.4.248,EC-CD-6D-0E-92-97,n/a
172.20.4.250,00-00-CD-28-C0-2B,n/a
172.20.4.252,EC-CD-6D-0C-9D-6B,n/a
172.20.4.254,EC-CD-6D-0C-B9-BD,n/a
172.20.5.1,EC-CD-6D-0E-A5-A2,n/a
172.20.5.4,00-15-77-F2-8A-28,n/a
172.20.5.5,EC-CD-6D-0C-8B-41,n/a
